nombre;tipo_inventario;area;unidad_sugerida;stock_inicial;stock_minimo;costo_unitario;fuente;menu_refs;conteo_referencias;menu_source_key;accion_sugerida;notas
licor de cereza;insumo;bar;ml;;;;menu_descripcion;Cherry Champagne;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
licor de fresa;insumo;bar;ml;;;;menu_descripcion;Rumba Zafari;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
licor de naranja;insumo;bar;ml;;;;menu_descripcion;Margaritas;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
mango;insumo;bar;porcion;;;;menu_descripcion;Tequila Sour Tropical | Jugo de Mango en Agua | Jugo de Mango en Leche | Limonada de Mango Biche;4;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
manzana;insumo;bar;porcion;;;;menu_descripcion;Sleeper | Rouse Apple | Mains Zafiro;3;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
manzana verde;insumo;bar;porcion;;;;menu_descripcion;Mains Zafiro;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
melon;insumo;bar;porcion;;;;menu_descripcion;Sleeper;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
mezcla frutal;insumo;bar;porcion;;;;menu_descripcion;Michelada Premium Frutal | Michelada Frutal | Michelada Sin Alcohol Frutal | Michelada Ginger Ale Frutal | Coctel Tequila Sunrise | Passion Fresh | Rouse Apple | Micheldas (Frutos Rojos Verdes Amarillos);8;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
naranja;insumo;bar;unidad;;;;menu_descripcion;Margaritas | Coctel Tequila Sunrise | Tequila Sour Tropical | Rumba Zafari | Blue Lagoon Drop;5;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
pi?a;insumo;bar;porcion;;;;menu_descripcion;Piña Colada | Hawaiian Blue;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
sandia;insumo;bar;porcion;;;;menu_descripcion;Passion Fresh | Limonada de Sandía;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
soda;insumo;bar;unidad;;;;menu_descripcion;Michelada Sin Alcohol Frutal | Michelada Sin Alcohol Clásica | Mojito | Gin-Tonic | Tom Collis | Micheldas (Frutos Rojos Verdes Amarillos) | Long Island | Mojito Fresd | Blue Lagoon Drop | Soda Obush | Soda Italiana de Maracuyá | Soda Italiana de Frutos Rojos | Bretaña / Soda;13;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
tequila;insumo;bar;ml;;;;menu_descripcion;Margaritas | Coctel Tequila Sunrise | Tequila Sour Tropical | Bulls Cantina;4;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
vermut seco;insumo;bar;ml;;;;menu_descripcion;Dry Martini;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
vino rosado;insumo;bar;ml;;;;menu_descripcion;Rouse Apple;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
vodka;insumo;bar;ml;;;;menu_descripcion;Passion Fresh | Sleeper | Rouse Apple;3;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
whisky;insumo;bar;ml;;;;menu_descripcion;Coctel Orgasmo | El Padrino;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
fresa;insumo;general;porcion;;;;menu_descripcion;Brownie con Helado | Tostadas con Amor | Rumba Zafari | Jugo de Fresa en Agua | Jugo de Fresa en Leche;5;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
limon;insumo;general;unidad;;;;menu_descripcion;Bocados Costa Zafiro | Michelada Premium Frutal | Michelada Frutal | Michelada Premium Clásica | Michelada Clásica | Michelada Sin Alcohol Frutal | Michelada Sin Alcohol Clásica | Michelada Ginger Ale Frutal | Michelada Ginger Ale | Cuba Libre | Mojito | Passion Fresh | Daiquiri | Tom Collis | Tequila Sour Tropical | Bulls Cantina | Long Island | Mojito Fresd | Soda Obush | Limonada de Cereza | Limonada de Coco | Limonada de Lychee | Limonada de Mango Biche | Limonada de Sandía | Limonada de Hierbabuena;25;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
ron;insumo;general;ml;;;;menu_descripcion;Bocados Costa Zafiro | Michelada Premium Frutal | Michelada Premium Clásica | Cuba Libre | Mojito | Piña Colada | Passion Fresh | Sleeper | Daiquiri | Hawaiian Blue | Cherry Champagne | Bulls Cantina | Rumba Zafari | Mains Zafiro | Corona | Coronita | Ron Viejo de Caldas Botella | Ron Viejo de Caldas Media;18;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
sal;insumo;general;gramo;;;;menu_descripcion;Quesadilla Zafiro | Corn Dog Zafiro Bites | Choripan Argentino | Perrito Loco | Reina Pepiada | Pinchos de Papas Fundidas | Bocados Costa Zafiro | Desgranado El Resucitador | Hamburguesa de la Casa | La Reina Doble | La Diabla | Helado con Brownie | Creep Achocolatado | Brownie con Helado | Papas Corte Zafiro | Soda Obush;16;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
aguacate;insumo;kitchen;unidad;;;;menu_descripcion;Tostones Cartageneros | Nachos Zafiro | Perrito Loco | Reina Pepiada | Bocados Costa Zafiro | La Diabla;6;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
ajonjoli;insumo;kitchen;gramo;;;;menu_descripcion;Corn Dog Zafiro Bites;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
arandano;insumo;kitchen;porcion;;;;menu_descripcion;Brownie con Helado | Tostadas con Amor;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
brotes;insumo;kitchen;porcion;;;;menu_descripcion;Huevos Hogaos;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
brownie;insumo;kitchen;unidad;;;;menu_descripcion;Helado con Brownie | Brownie con Helado;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
camaron;insumo;kitchen;porcion;;;;menu_descripcion;Bocados Costa Zafiro;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
carne desmechada;insumo;kitchen;porcion;;;;menu_descripcion;Tostones Cartageneros | Nachos Zafiro | Tortilla Desmechada al Zafiro | Desgranado El Resucitador | La Diabla;5;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
carne hamburguesa;insumo;kitchen;porcion;;;;menu_descripcion;Hamburguesa de la Casa | La Reina Doble | La Diabla | La Original;4;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
cebolla;insumo;kitchen;unidad;;;;menu_descripcion;Reina Pepiada | Pinchos de Papas Fundidas | Hamburguesa de la Casa | La Diabla;4;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
chimichurri;insumo;kitchen;ml;;;;menu_descripcion;Choripan Argentino;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
chorizo;insumo;kitchen;unidad;;;;menu_descripcion;Choripan Argentino | Desgranado El Resucitador | La Original;3;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
cilantro;insumo;kitchen;manojo;;;;menu_descripcion;Choripan Argentino | Reina Pepiada | Bocados Costa Zafiro | Tortilla Desmechada al Zafiro;4;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
crema agria;insumo;kitchen;ml;;;;menu_descripcion;Nachos Zafiro | Perrito Loco;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
helado;insumo;kitchen;porcion;;;;menu_descripcion;Helado con Brownie | Creep Achocolatado | Brownie con Helado;3;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
hierbas;insumo;kitchen;porcion;;;;menu_descripcion;Tortillas al Zafiro;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
hogao;insumo;kitchen;porcion;;;;menu_descripcion;Tostones Cartageneros | Huevos Hogaos | Tortilla Desmechada al Zafiro | Desgranado El Resucitador;4;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
huevo;insumo;kitchen;unidad;;;;menu_descripcion;Huevos Hogaos | La Reina Doble;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
jalape?o;insumo;kitchen;porcion;;;;menu_descripcion;La Diabla;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
lechuga;insumo;kitchen;unidad;;;;menu_descripcion;Choripan Argentino | Tortilla Desmechada al Zafiro | Desgranado El Resucitador | Hamburguesa de la Casa | La Reina Doble | La Diabla | La Original | Papas Corte Zafiro;8;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
maiz tierno;insumo;kitchen;porcion;;;;menu_descripcion;Quesadilla Zafiro | Desgranado El Resucitador;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
mantequilla;insumo;kitchen;gramo;;;;menu_descripcion;Tortillas al Zafiro;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
melocoton;insumo;kitchen;porcion;;;;menu_descripcion;Tostadas con Amor;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
menta;insumo;kitchen;manojo;;;;menu_descripcion;Tostadas con Amor;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
nutella;insumo;kitchen;gramo;;;;menu_descripcion;Creep Achocolatado | Tostadas con Amor;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
pan;insumo;kitchen;unidad;;;;menu_descripcion;Tostones Cartageneros | Choripan Argentino | Perrito Loco | Reina Pepiada | Hamburguesa de la Casa | La Reina Doble | La Diabla | La Original | Helado con Brownie | Brownie con Helado | Tostadas con Amor | Papas Corte Zafiro;12;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
papa francesa;insumo;kitchen;porcion;;;;menu_descripcion;Choripan Argentino | Pinchos de Papas Fundidas | Desgranado El Resucitador | Papas Zafiro | Papas a la francesa | Papas Corte Zafiro;6;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
patacon;insumo;kitchen;unidad;;;;menu_descripcion;Tostones Cartageneros;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
pico de gallo;insumo;kitchen;porcion;;;;menu_descripcion;Nachos Zafiro;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
pimenton;insumo;kitchen;unidad;;;;menu_descripcion;Pinchos de Papas Fundidas;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
pollo;insumo;kitchen;porcion;;;;menu_descripcion;Reina Pepiada | Tortillas al Zafiro | Desgranado El Resucitador;3;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
queso;insumo;kitchen;porcion;;;;menu_descripcion;Quesadilla Zafiro | Perrito Loco | Reina Pepiada | Pinchos de Papas Fundidas | Tortilla Desmechada al Zafiro | Tortillas al Zafiro | Hamburguesa de la Casa | La Reina Doble | La Diabla | La Original | Papas Zafiro;11;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
salchicha;insumo;kitchen;unidad;;;;menu_descripcion;Corn Dog Zafiro Bites | Perrito Loco | Papas Corte Zafiro;3;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
salsa bbq;insumo;kitchen;ml;;;;menu_descripcion;Corn Dog Zafiro Bites;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
salsa chipotle;insumo;kitchen;ml;;;;menu_descripcion;La Diabla;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
salsa de ajo;insumo;kitchen;ml;;;;menu_descripcion;Quesadilla Zafiro | La Reina Doble;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
salsa de chocolate;insumo;kitchen;ml;;;;menu_descripcion;Helado con Brownie | Creep Achocolatado | Brownie con Helado;3;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
salsa de cilantro;insumo;kitchen;ml;;;;menu_descripcion;Choripan Argentino | Reina Pepiada;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
salsa de soya;insumo;kitchen;ml;;;;menu_descripcion;Corn Dog Zafiro Bites;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
tocineta;insumo;kitchen;porcion;;;;menu_descripcion;Quesadilla Zafiro | Perrito Loco | Desgranado El Resucitador | Hamburguesa de la Casa | La Reina Doble | La Diabla | La Original | Papas Zafiro | Papas Corte Zafiro;9;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
tomate;insumo;kitchen;unidad;;;;menu_descripcion;Hamburguesa de la Casa | La Reina Doble | La Diabla | La Original;4;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
tortilla;insumo;kitchen;unidad;;;;menu_descripcion;Quesadilla Zafiro | Tortilla Desmechada al Zafiro | Tortillas al Zafiro;3;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
tostada;insumo;kitchen;unidad;;;;menu_descripcion;Huevos Hogaos | Tostadas con Amor;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
totopos;insumo;kitchen;porcion;;;;menu_descripcion;Nachos Zafiro | Bocados Costa Zafiro;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
Agua con Gas;producto_vendido;bar;unidad;;;;menu_producto;Agua con Gas;1;agua-con-gas;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Agua Cristal;producto_vendido;bar;unidad;;;;menu_producto;Agua Cristal;1;agua-cristal;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Aguardiente Amarillo Botella;producto_vendido;bar;botella;;;;menu_producto;Aguardiente Amarillo Botella;1;aguardiente-amarillo-botella;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Aguardiente Amarillo Media;producto_vendido;bar;botella;;;;menu_producto;Aguardiente Amarillo Media;1;aguardiente-amarillo-media;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Aguardiente Azul Media;producto_vendido;bar;botella;;;;menu_producto;Aguardiente Azul Media;1;aguardiente-azul-media;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Aguardiente Negro / Verde Media;producto_vendido;bar;botella;;;;menu_producto;Aguardiente Negro / Verde Media;1;aguardiente-negro-verde-media;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Águila Original;producto_vendido;bar;unidad;;;;menu_producto;Águila Original;1;aguila-original;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Bretaña / Soda;producto_vendido;bar;unidad;;;;menu_producto;Bretaña / Soda;1;bretana-soda;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Buchanan’s Deluxe Botella;producto_vendido;bar;botella;;;;menu_producto;Buchanan’s Deluxe Botella;1;buchanans-deluxe-botella;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Buchanan’s Master Botella;producto_vendido;bar;botella;;;;menu_producto;Buchanan’s Master Botella;1;buchanans-master-botella;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Budweiser;producto_vendido;bar;unidad;;;;menu_producto;Budweiser;1;budweiser;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Canada Dry;producto_vendido;bar;unidad;;;;menu_producto;Canada Dry;1;canada-dry;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Club Colombia;producto_vendido;bar;unidad;;;;menu_producto;Club Colombia;1;club-colombia;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Coca-Cola;producto_vendido;bar;unidad;;;;menu_producto;Coca-Cola;1;coca-cola;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Corona;producto_vendido;bar;unidad;;;;menu_producto;Corona;1;corona;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Coronita;producto_vendido;bar;unidad;;;;menu_producto;Coronita;1;coronita;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Costeña;producto_vendido;bar;unidad;;;;menu_producto;Costeña;1;costena;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Don Julio Blanco Botella;producto_vendido;bar;botella;;;;menu_producto;Don Julio Blanco Botella;1;don-julio-blanco-botella;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Gaseosa Surtida Postobón;producto_vendido;bar;unidad;;;;menu_producto;Gaseosa Surtida Postobón;1;gaseosa-surtida-postobon;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Grant’s Botella;producto_vendido;bar;unidad;;;;menu_producto;Grant’s Botella;1;grants-botella;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Grant’s Media;producto_vendido;bar;unidad;;;;menu_producto;Grant’s Media;1;grants-media;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Jugo Hit Surtido;producto_vendido;bar;unidad;;;;menu_producto;Jugo Hit Surtido;1;jugo-hit-surtido;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Old Parr Botella;producto_vendido;bar;botella;;;;menu_producto;Old Parr Botella;1;old-parr-botella;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Poker;producto_vendido;bar;unidad;;;;menu_producto;Poker;1;poker;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Ron Viejo de Caldas Botella;producto_vendido;bar;botella;;;;menu_producto;Ron Viejo de Caldas Botella;1;ron-viejo-de-caldas-botella;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Ron Viejo de Caldas Media;producto_vendido;bar;botella;;;;menu_producto;Ron Viejo de Caldas Media;1;ron-viejo-de-caldas-media;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Smirnoff Ice Personal;producto_vendido;bar;unidad;;;;menu_producto;Smirnoff Ice Personal;1;smirnoff-ice-personal;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Speed Max;producto_vendido;bar;unidad;;;;menu_producto;Speed Max;1;speed-max;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Sprite;producto_vendido;bar;unidad;;;;menu_producto;Sprite;1;sprite;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Squash Personal;producto_vendido;bar;unidad;;;;menu_producto;Squash Personal;1;squash-personal;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
Stella Artois;producto_vendido;bar;unidad;;;;menu_producto;Stella Artois;1;stella-artois;revisar_y_completar_stock;"Producto vendido directamente en el menu; confirmar si se controla en inventario."
